CRF++: Yet Another CRF Tool Kit
Copyright (C) 2005-2013 Taku Kudo, All rights reserved.

reading training data: 100.. 200.. 300.. 400.. 500.. 600.. 700.. 800.. 900.. 1000.. 1100.. 1200.. 1300.. 1400.. 1500.. 1600.. 1700.. 1800.. 1900.. 2000.. 2100.. 2200.. 2300.. 2400.. 2500.. 2600.. 2700.. 2800.. 2900.. 3000.. 3100.. 3200.. 3300.. 3400.. 3500.. 3600.. 3700.. 3800.. 3900.. 4000.. 4100.. 4200.. 4300.. 4400.. 4500.. 4600.. 4700.. 4800.. 4900.. 5000.. 5100.. 5200.. 5300.. 5400.. 5500.. 5600.. 5700.. 5800.. 5900.. 6000.. 6100.. 6200.. 6300.. 6400.. 6500.. 6600.. 6700.. 6800.. 6900.. 7000.. 7100.. 7200.. 7300.. 7400.. 7500.. 7600.. 7700.. 7800.. 7900.. 8000.. 8100.. 8200.. 8300.. 8400.. 8500.. 8600.. 8700.. 8800.. 8900.. 9000.. 9100.. 9200.. 9300.. 9400.. 9500.. 9600.. 9700.. 9800.. 9900.. 10000.. 10100.. 10200.. 10300.. 10400.. 10500.. 10600.. 10700.. 10800.. 10900.. 11000.. 11100.. 11200.. 11300.. 11400.. 11500.. 11600.. 11700.. 11800.. 11900.. 12000.. 12100.. 12200.. 12300.. 12400.. 12500.. 12600.. 12700.. 12800.. 12900.. 13000.. 13100.. 13200.. 13300.. 13400.. 13500.. 13600.. 13700.. 13800.. 13900.. 14000.. 14100.. 14200.. 14300.. 14400.. 14500.. 14600.. 14700.. 14800.. 14900.. 15000.. 15100.. 15200.. 15300.. 15400.. 15500.. 15600.. 15700.. 15800.. 15900.. 16000.. 16100.. 16200.. 16300.. 16400.. 16500.. 16600.. 16700.. 16800.. 16900.. 17000.. 17100.. 17200.. 17300.. 17400.. 17500.. 
Done!16.42 s

Number of sentences: 17535
Number of features:  9186816
Number of thread(s): 1
Freq:                1
eta:                 0.00010
C:                   1.00000
shrinking size:      20
iter=49 terr=0.00478 serr=0.08720 act=9186816 obj=6893.97672 diff=0.00265
iter=50 terr=0.00407 serr=0.07670 act=9186816 obj=6490.80273 diff=0.05848
iter=51 terr=0.00391 serr=0.07419 act=9186816 obj=6418.68777 diff=0.01111
iter=52 terr=0.00366 serr=0.07089 act=9186816 obj=6266.38904 diff=0.02373
iter=53 terr=0.00347 serr=0.06707 act=9186816 obj=6102.08395 diff=0.02622
iter=54 terr=0.00333 serr=0.06496 act=9186816 obj=5930.90010 diff=0.02805
iter=55 terr=0.00294 serr=0.05760 act=9186816 obj=5687.89299 diff=0.04097
iter=56 terr=0.00294 serr=0.05800 act=9186816 obj=5616.28587 diff=0.01259
iter=57 terr=0.00287 serr=0.05743 act=9186816 obj=5533.85651 diff=0.01468
iter=58 terr=0.00269 serr=0.05418 act=9186816 obj=5343.60501 diff=0.03438
iter=59 terr=0.00243 serr=0.05041 act=9186816 obj=5200.57427 diff=0.02677
iter=60 terr=0.00225 serr=0.04597 act=9186816 obj=5033.33113 diff=0.03216
iter=61 terr=0.00214 serr=0.04391 act=9186816 obj=4932.93752 diff=0.01995
iter=62 terr=0.00204 serr=0.04197 act=9186816 obj=4845.63731 diff=0.01770
iter=63 terr=0.00211 serr=0.04386 act=9186816 obj=4793.69503 diff=0.01072
iter=64 terr=0.00192 serr=0.04015 act=9186816 obj=4707.52936 diff=0.01797
iter=65 terr=0.00168 serr=0.03593 act=9186816 obj=4602.35189 diff=0.02234
iter=66 terr=0.00161 serr=0.03422 act=9186816 obj=4540.87385 diff=0.01336
iter=67 terr=0.00144 serr=0.03125 act=9186816 obj=4442.27746 diff=0.02171
iter=68 terr=0.00147 serr=0.03159 act=9186816 obj=4386.23376 diff=0.01262
iter=69 terr=0.00130 serr=0.02874 act=9186816 obj=4288.54734 diff=0.02227
iter=70 terr=0.00122 serr=0.02709 act=9186816 obj=4239.37719 diff=0.01147
iter=71 terr=0.00120 serr=0.02640 act=9186816 obj=4195.33009 diff=0.01039
iter=72 terr=0.00105 serr=0.02355 act=9186816 obj=4134.56405 diff=0.01448
iter=73 terr=0.00098 serr=0.02270 act=9186816 obj=4089.72010 diff=0.01085
iter=74 terr=0.00089 serr=0.02070 act=9186816 obj=4024.47766 diff=0.01595
iter=75 terr=0.00081 serr=0.01899 act=9186816 obj=3968.44484 diff=0.01392
iter=76 terr=0.00070 serr=0.01665 act=9186816 obj=3912.50912 diff=0.01410
iter=77 terr=0.00065 serr=0.01591 act=9186816 obj=3872.29979 diff=0.01028
iter=78 terr=0.00086 serr=0.01871 act=9186816 obj=3915.26175 diff=0.01109
iter=79 terr=0.00065 serr=0.01568 act=9186816 obj=3854.45459 diff=0.01553
iter=80 terr=0.00064 serr=0.01540 act=9186816 obj=3826.87248 diff=0.00716
iter=81 terr=0.00061 serr=0.01460 act=9186816 obj=3804.96157 diff=0.00573
iter=82 terr=0.00060 serr=0.01414 act=9186816 obj=3769.49097 diff=0.00932
iter=83 terr=0.00055 serr=0.01312 act=9186816 obj=3726.25361 diff=0.01147
iter=84 terr=0.00054 serr=0.01180 act=9186816 obj=3761.08468 diff=0.00935
iter=85 terr=0.00049 serr=0.01158 act=9186816 obj=3703.87752 diff=0.01521
iter=86 terr=0.00047 serr=0.01101 act=9186816 obj=3666.53646 diff=0.01008
iter=87 terr=0.00041 serr=0.00998 act=9186816 obj=3634.84603 diff=0.00864
iter=88 terr=0.00056 serr=0.01277 act=9186816 obj=3717.83203 diff=0.02283
iter=89 terr=0.00039 serr=0.00992 act=9186816 obj=3623.07077 diff=0.02549
iter=90 terr=0.00035 serr=0.00924 act=9186816 obj=3608.78915 diff=0.00394
iter=91 terr=0.00034 serr=0.00855 act=9186816 obj=3576.53385 diff=0.00894
iter=92 terr=0.00031 serr=0.00758 act=9186816 obj=3526.92081 diff=0.01387
iter=93 terr=0.00028 serr=0.00684 act=9186816 obj=3469.00500 diff=0.01642
iter=94 terr=0.00023 serr=0.00599 act=9186816 obj=3450.83084 diff=0.00524
iter=95 terr=0.00022 serr=0.00570 act=9186816 obj=3402.59257 diff=0.01398
iter=96 terr=0.00024 serr=0.00599 act=9186816 obj=3394.81402 diff=0.00229
iter=97 terr=0.00023 serr=0.00599 act=9186816 obj=3383.37648 diff=0.00337
iter=98 terr=0.00021 serr=0.00570 act=9186816 obj=3375.57850 diff=0.00230
iter=99 terr=0.00021 serr=0.00536 act=9186816 obj=3364.37110 diff=0.00332
iter=100 terr=0.00024 serr=0.00502 act=9186816 obj=3324.11674 diff=0.01196
iter=101 terr=0.00023 serr=0.00485 act=9186816 obj=3302.72912 diff=0.00643
iter=102 terr=0.00019 serr=0.00451 act=9186816 obj=3273.87445 diff=0.00874
iter=103 terr=0.00017 serr=0.00405 act=9186816 obj=3259.42486 diff=0.00441
iter=104 terr=0.00015 serr=0.00382 act=9186816 obj=3244.17033 diff=0.00468
iter=105 terr=0.00017 serr=0.00376 act=9186816 obj=3229.06116 diff=0.00466
iter=106 terr=0.00014 serr=0.00314 act=9186816 obj=3205.46191 diff=0.00731
iter=107 terr=0.00013 serr=0.00291 act=9186816 obj=3176.49012 diff=0.00904
iter=108 terr=0.00012 serr=0.00268 act=9186816 obj=3147.13635 diff=0.00924
iter=109 terr=0.00012 serr=0.00274 act=9186816 obj=3133.38973 diff=0.00437
iter=110 terr=0.00011 serr=0.00228 act=9186816 obj=3112.23239 diff=0.00675
iter=111 terr=0.00011 serr=0.00217 act=9186816 obj=3103.62301 diff=0.00277
iter=112 terr=0.00011 serr=0.00234 act=9186816 obj=3087.03738 diff=0.00534
iter=113 terr=0.00011 serr=0.00240 act=9186816 obj=3078.73098 diff=0.00269
iter=114 terr=0.00009 serr=0.00211 act=9186816 obj=3065.96714 diff=0.00415
iter=115 terr=0.00009 serr=0.00200 act=9186816 obj=3044.12840 diff=0.00712
iter=116 terr=0.00008 serr=0.00182 act=9186816 obj=3052.70896 diff=0.00282
iter=117 terr=0.00008 serr=0.00188 act=9186816 obj=3038.60599 diff=0.00462
iter=118 terr=0.00007 serr=0.00177 act=9186816 obj=3032.23098 diff=0.00210
iter=119 terr=0.00008 serr=0.00194 act=9186816 obj=3015.82091 diff=0.00541
iter=120 terr=0.00008 serr=0.00182 act=9186816 obj=3009.19388 diff=0.00220
iter=121 terr=0.00007 serr=0.00171 act=9186816 obj=2999.14865 diff=0.00334
iter=122 terr=0.00006 serr=0.00160 act=9186816 obj=2990.78040 diff=0.00279
iter=123 terr=0.00007 serr=0.00165 act=9186816 obj=2983.89494 diff=0.00230
iter=124 terr=0.00007 serr=0.00171 act=9186816 obj=2976.54606 diff=0.00246
iter=125 terr=0.00007 serr=0.00171 act=9186816 obj=2973.00225 diff=0.00119
iter=126 terr=0.00008 serr=0.00160 act=9186816 obj=2964.55646 diff=0.00284
iter=127 terr=0.00007 serr=0.00160 act=9186816 obj=2955.38563 diff=0.00309
iter=128 terr=0.00008 serr=0.00154 act=9186816 obj=2943.77385 diff=0.00393
iter=129 terr=0.00007 serr=0.00160 act=9186816 obj=2935.94930 diff=0.00266
