CRF++: Yet Another CRF Tool Kit
Copyright (C) 2005-2013 Taku Kudo, All rights reserved.

reading training data: 100.. 200.. 300.. 400.. 500.. 600.. 700.. 800.. 900.. 1000.. 1100.. 1200.. 1300.. 1400.. 1500.. 1600.. 1700.. 1800.. 1900.. 2000.. 2100.. 2200.. 2300.. 2400.. 2500.. 2600.. 2700.. 2800.. 2900.. 3000.. 3100.. 3200.. 3300.. 3400.. 3500.. 3600.. 3700.. 3800.. 3900.. 4000.. 4100.. 4200.. 4300.. 4400.. 4500.. 4600.. 4700.. 4800.. 4900.. 5000.. 5100.. 5200.. 5300.. 5400.. 5500.. 5600.. 5700.. 5800.. 5900.. 6000.. 6100.. 6200.. 6300.. 6400.. 6500.. 6600.. 6700.. 6800.. 6900.. 7000.. 7100.. 7200.. 7300.. 7400.. 7500.. 7600.. 7700.. 7800.. 7900.. 8000.. 8100.. 8200.. 8300.. 8400.. 8500.. 8600.. 8700.. 8800.. 8900.. 9000.. 9100.. 9200.. 9300.. 9400.. 9500.. 9600.. 9700.. 9800.. 9900.. 10000.. 10100.. 10200.. 10300.. 10400.. 10500.. 10600.. 10700.. 10800.. 10900.. 11000.. 11100.. 11200.. 11300.. 11400.. 11500.. 11600.. 11700.. 11800.. 11900.. 12000.. 12100.. 12200.. 12300.. 12400.. 12500.. 12600.. 12700.. 12800.. 12900.. 13000.. 13100.. 13200.. 13300.. 13400.. 13500.. 13600.. 13700.. 13800.. 13900.. 14000.. 14100.. 14200.. 14300.. 14400.. 14500.. 14600.. 14700.. 14800.. 14900.. 15000.. 15100.. 15200.. 15300.. 15400.. 15500.. 15600.. 15700.. 15800.. 15900.. 16000.. 16100.. 16200.. 16300.. 16400.. 16500.. 16600.. 16700.. 16800.. 16900.. 17000.. 17100.. 17200.. 17300.. 17400.. 17500.. 
Done!8.53 s

Number of sentences: 17535
Number of features:  8855328
Number of thread(s): 1
Freq:                1
eta:                 0.00010
C:                   1.00000
shrinking size:      20
iter=49 terr=0.03103 serr=0.51794 act=8855328 obj=78683.15427 diff=0.03854
iter=50 terr=0.03043 serr=0.50887 act=8855328 obj=75720.69824 diff=0.03765
iter=51 terr=0.02953 serr=0.51183 act=8855328 obj=78089.68086 diff=0.03129
iter=52 terr=0.02977 serr=0.50585 act=8855328 obj=74923.24226 diff=0.04055
iter=53 terr=0.02964 serr=0.47802 act=8855328 obj=73578.30523 diff=0.01795
iter=54 terr=0.02937 serr=0.47505 act=8855328 obj=72848.41402 diff=0.00992
iter=55 terr=0.02814 serr=0.46148 act=8855328 obj=70940.77802 diff=0.02619
iter=56 terr=0.02766 serr=0.45526 act=8855328 obj=69416.62146 diff=0.02148
iter=57 terr=0.02670 serr=0.45144 act=8855328 obj=67852.74875 diff=0.02253
iter=58 terr=0.02561 serr=0.44306 act=8855328 obj=65892.48099 diff=0.02889
iter=59 terr=0.04896 serr=0.65691 act=8855328 obj=129595.64061 diff=0.96677
iter=60 terr=0.02471 serr=0.43650 act=8855328 obj=65133.27414 diff=0.49741
iter=61 terr=0.02375 serr=0.42486 act=8855328 obj=62851.98178 diff=0.03502
iter=62 terr=0.02256 serr=0.41694 act=8855328 obj=60356.97771 diff=0.03970
iter=63 terr=0.02198 serr=0.41038 act=8855328 obj=59004.36518 diff=0.02241
iter=64 terr=0.02148 serr=0.40131 act=8855328 obj=57477.64091 diff=0.02587
iter=65 terr=0.02066 serr=0.38916 act=8855328 obj=55981.40907 diff=0.02603
iter=66 terr=0.01920 serr=0.36766 act=8855328 obj=54602.14963 diff=0.02464
iter=67 terr=0.02101 serr=0.37856 act=8855328 obj=56271.05910 diff=0.03056
iter=68 terr=0.01959 serr=0.36590 act=8855328 obj=54189.53758 diff=0.03699
iter=69 terr=0.01916 serr=0.36510 act=8855328 obj=53644.79809 diff=0.01005
iter=70 terr=0.01855 serr=0.35877 act=8855328 obj=52852.41133 diff=0.01477
